"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CCDC97",0.0866088255734585,0.492420030591208,0.25,0.148,1
"RFX1",0.0867217116706543,0.330148601692331,0.386,0.261,1
"IRF7",0.0867842531470347,0.517775604868102,0.543,0.466,1
"PLXNB2",0.086907301869474,0.397262797550868,0.593,0.5,1
"CYSTM1",0.0869097060252295,-0.27838237016723,0.914,0.966,1
"ABL2",0.0869660815214892,1.18955027151953,0.271,0.182,1
"CNDP2",0.0870220602197418,0.341203790201327,0.836,0.784,1
"COPG1",0.0871265413499921,0.354396147939008,0.571,0.477,1
"TCAF1",0.0871462722782985,0.487689878678811,0.393,0.284,1
"QTRT1",0.0872336412231046,0.265297457342363,0.714,0.659,1
"GTF2H1",0.0874026053570554,0.302134225522734,0.293,0.17,1
"NUP153",0.0874690595101322,0.674103002909692,0.336,0.239,1
"ERAL1",0.0874872039219364,0.330148601692331,0.35,0.227,1
"TBCK",0.087665505354884,0.652076696579693,0.264,0.17,1
"DUSP16",0.0876723283014209,-0.524653482767734,0.45,0.534,1
"SCYL2",0.0877377859504738,0.767553913999629,0.3,0.205,1
"EIF2S1",0.0877385623243362,0.497443347089971,0.586,0.5,1
"RBFOX2",0.0878049298241343,0.380774674762299,0.471,0.364,1
"REEP5",0.0878626540155887,-0.250599410452161,1,1,1
"GPSM2",0.087869718148612,0.330148601692331,0.307,0.193,1
